Kota Inflasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2012=100) Menurut Kelompok 02 Makanan Jadi, Minuman, Rokok dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan Jadi, Minuman, Rokok dan Tembakau",,,,,,,,,,,,Makanan Jadi,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,Tembakau dan Minuman Beralkohol,,,,,,,,,,,
,2015,,,,,,,,,,,,2015,,,,,,,,,,,,2015,,,,,,,,,,,,2015,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,120.68,120.68,120.68,120.68,122.22,123.07,123.12,124.19,124.57,124.57,125.33,125.42,124.21,124.21,124.21,124.21,124.21,124.21,124.21,124.21,124.21,124.21,124.21,124.21,104.95,104.95,104.95,104.95,112.36,113.99,114.23,114.23,113.8,113.8,113.8,113.8,125.81,125.81,125.81,125.81,125.81,127.52,127.52,131.15,132.74,132.74,135.32,135.62
KOTA BANDA ACEH,108.85,109.12,109.57,109.71,109.94,110.19,110.55,110.87,110.93,111.26,111.73,111.97,103,103.05,103.05,103.07,103.19,103.21,103.21,103.29,103.34,103.38,103.38,103.49,108.7,108.55,108.46,109.04,109.19,109.64,109.57,109.73,109.88,109.91,110.25,110.33,122.99,124.19,126.23,126.23,126.83,127.41,129.08,130.12,130.12,131.41,133.15,133.85
KOTA LHOKSEUMAWE,108.23,108.42,110.27,110.37,110.46,110.78,111.09,112.74,112.88,112.93,112.93,113,107.08,107.47,110.3,110.3,110.33,110.41,110.73,112.08,112.4,112.43,112.43,112.43,103.62,103.62,104.04,104.44,104.72,105.57,105.57,106.71,106.64,106.78,106.79,106.98,115.15,115.15,116.43,116.43,116.43,116.72,117.32,120.08,120.08,120.08,120.08,120.17
KOTA SIBOLGA,116.39,117.9,118,118.43,118.89,119.08,119.12,119.13,119.11,121.09,122.3,123.52,115.73,115.92,116.04,116.05,116.09,116.13,116.13,116.15,116.18,119.47,119.47,120.53,108.11,108.63,108.86,109.61,110.37,111.49,111.64,111.61,111.39,111.23,111.32,113.41,121.88,126.17,126.17,127.19,128.2,128.2,128.25,128.25,128.25,129.07,132.97,134
KOTA PEMATANG SIANTAR,125.95,127.41,129.15,131.31,131.79,133.48,135.77,136.23,136.77,137.55,138.54,139.91,123.65,125.51,128.88,129.83,129.79,129.79,131.03,132.04,132.06,133.26,133.53,134.13,109.56,110.52,111.36,114.47,114.32,115.48,115.96,115.83,116.54,116.76,116.81,116.83,136,137.14,137.17,140.48,141.91,146.04,150.47,150.47,151.61,152.1,154.41,157.38
KOTA MEDAN,115.05,115.29,115.71,116.19,116.52,116.9,117.67,117.75,117.77,117.95,120.05,120.88,113.23,113.46,113.47,113.94,114.06,114.24,115.04,115.19,115.21,115.52,115.53,115.58,106.98,107.64,108.71,109.91,111.34,112.91,114.23,114.23,114.24,114.27,114.4,114.52,124.84,124.85,125.69,125.7,125.7,125.7,125.99,125.99,126,125.99,134.17,137.26
KOTA PADANGSIDIMPUAN,119.18,119.35,119.74,120.13,120.34,121.34,121.58,123.58,123.69,124.49,124.7,125.14,116.06,116.06,116.3,116.36,116.42,116.45,116.46,116.56,116.56,116.56,116.68,116.68,116.7,116.84,116.89,117.77,118.94,122.1,122.24,122.36,122.12,122.7,122.83,123.57,125.68,126.15,126.96,127.69,127.69,129.35,130.02,136.15,136.6,138.88,139.29,140.32
KOTA PADANG,119.09,120.52,120.73,121.08,121.23,121.61,121.94,122.3,122.57,122.75,123.11,123.65,118.07,119.2,119.48,119.73,119.64,119.65,119.98,120.09,120.3,120.49,120.53,120.53,108.41,108.82,108.97,109.14,109.42,109.85,110.63,110.65,110.51,110.6,110.92,111.95,129.15,132.07,132.15,132.86,133.51,134.78,134.78,135.98,136.67,136.93,138.08,139.58
KOTA BUKITTINGGI,109.12,109.5,109.88,110.15,110.85,111.49,112.57,113.57,113.96,115.5,115.75,116.81,106.33,106.52,106.52,106.53,107.14,107.3,108.26,109.07,109.72,111.4,111.8,111.84,99.24,99.27,100.73,100.34,102.01,103.69,105.94,105.7,104.37,105.14,105.24,105.6,122.03,123.08,123.76,125.06,125.37,126.56,127.2,129.41,130.24,131.91,131.91,135.87
TEMBILAHAN,121.46,121.69,122.27,122.72,123.05,123.18,123.23,123.59,123.63,123.62,123.63,124.42,121.83,121.83,121.83,121.83,122.25,122.25,122.25,122.25,122.25,122.25,122.25,123.31,123.03,123.03,124.18,126.74,127.2,127.94,128.21,128.21,128.42,128.37,128.42,128.65,119.26,120.26,121.94,121.94,121.94,121.94,121.94,123.55,123.55,123.55,123.55,124.07
KOTA PEKANBARU,123.33,124.19,124.35,125.52,125.84,126.98,126.97,127.44,128.13,128.33,128.61,129.2,123.26,124.43,124.52,124.61,124.62,126.42,126.44,127.25,128.01,128.08,128.2,128.83,115.92,116.29,116.68,117.55,117.93,118.27,118.16,118.12,118.05,118.17,118.22,118.23,129.02,129.49,129.62,133.72,134.83,134.87,134.87,134.88,135.96,136.52,137.39,138.29
KOTA DUMAI,121.09,122.86,123.25,124.39,126.31,126.47,127.56,129.85,130.36,131.37,131.31,131.75,120.4,121.44,121.44,121.7,121.72,121.76,122.61,125.29,125.64,125.91,125.91,125.92,122.38,123.68,124.89,128.73,129.97,130.18,133.33,137.23,137.4,138.75,138.24,137.7,121.64,125.23,125.87,126.96,133.3,133.66,133.84,134.17,135.28,137.56,137.71,139.71
BUNGO,114.98,115.35,116.69,117.48,117.77,118.16,118.34,119.08,119.72,119.69,120.37,121.76,115.24,115.24,116.31,116.93,116.93,117.33,117.33,117.33,117.33,117.33,117.48,117.48,114.43,114.53,115.05,117.45,118.29,118.45,119.58,119.53,120.46,120.26,120.57,121.12,114.77,115.99,118.31,118.56,119.13,119.62,119.62,122.21,123.93,123.93,125.84,130.37
KOTA JAMBI,116.96,117.92,118.65,119.68,120.62,121.8,122.22,123.19,123.82,124.25,125.19,125.43,119.5,120.32,120.83,121.76,122.82,123.88,124.37,125.85,126.12,126.55,127.18,127.22,108.44,108.41,110.01,112.16,113.13,114.93,114.81,115.09,115.05,115.67,116.13,116.36,117.2,119.18,119.81,120.24,120.91,121.9,122.56,122.86,124.8,125.1,127.05,127.77
KOTA PALEMBANG,117.95,118.15,119.7,120.31,120.77,121.26,121.82,122.36,123.2,124.47,126.05,127.16,117.22,117.48,119.98,120.45,120.45,121.05,121.21,121.84,123.02,123.17,123.97,124.88,102.5,102.81,103.42,105.37,106.27,106.68,106.92,106.94,107.35,107.59,107.95,109.45,129.73,129.73,129.92,129.92,131.05,131.39,133,133.67,134.1,138.4,142.44,143.72
KOTA LUBUKLINGGAU,113.03,115.44,115.68,116.4,116.71,117.32,119.41,119.41,119.99,120.06,120.33,120.62,110.56,110.56,110.62,111.46,112.02,112.6,115.88,115.88,116.12,116.12,116.12,116.12,113.84,112.41,113.62,115.24,115.33,117.17,119.34,119.34,119.82,119.3,118.62,118.84,116.77,125.43,125.43,125.43,125.43,125.43,125.43,125.43,126.66,127.16,128.44,129.24
KOTA BENGKULU,117.7,117.83,118.47,119.27,119.93,120.37,120.42,122.4,123.46,123.57,123.68,124,119.26,119.28,119.44,120.72,120.77,120.94,120.97,124.43,125.16,125.21,125.26,125.27,112.11,112.47,113.31,113.74,114.64,115.66,115.88,115.71,116.11,116.13,115.87,115.89,117.67,117.89,119.44,119.46,121.25,121.95,121.95,122.03,124.19,124.48,124.93,126.1
KOTA BANDAR LAMPUNG,116.63,116.95,117.76,118.12,120.23,120.89,121.14,121.7,122.36,122.61,122.82,124.19,118.33,118.48,119.11,119.14,122.38,123.13,123.23,124.12,125.03,125.03,125.03,125.04,107.96,107.66,107.8,109.15,109.93,110.53,110.96,111,110.7,110.83,111.36,111.46,118.99,120.19,121.92,122.38,122.73,123.21,123.67,123.82,124.62,125.55,126.04,131.65
KOTA METRO,117.35,117.35,118.04,118.31,119.18,120.11,121.2,121.53,122.02,122.12,122.33,122.79,123.48,123.48,123.69,123.69,124.19,124.44,124.89,125.42,125.96,125.96,125.96,125.96,107.07,107.09,108.71,110.38,111.73,113.71,115.76,114.8,114.72,115.03,115.59,116.32,111.95,111.95,112.98,112.98,114.26,115.81,117.54,118.24,118.92,119.1,119.5,120.65
TANJUNG PANDAN,118.95,120.65,120.78,121.34,121.97,122.12,122.36,122.95,122.89,122.92,123.91,123.91,121.31,123.46,123.72,123.72,124.71,124.82,125.21,126.11,126.11,126.28,127.08,127.08,117.44,117.62,117.45,116.7,116.77,116.1,116.06,116.27,115.91,115.37,115.19,115.19,113.28,114.79,114.79,117.89,117.89,118.77,118.77,118.77,118.77,118.77,121.17,121.17
KOTA PANGKAL PINANG,119.66,119.6,122.36,122.53,123.06,123.23,125.79,127.05,127.86,128.87,129,129.51,121.39,121.39,124.16,124.16,124.16,124.16,124.73,126.87,126.87,127.4,127.4,127.81,115.62,115.27,117.14,118.08,118.57,119.06,120,120,120.4,122.18,121.22,121.21,118.6,118.6,121.93,121.95,123.67,123.97,131.87,132.08,134.88,136.42,137.55,138.59
KOTA BATAM,115.86,116.29,116.61,117.63,117.95,119.03,119.61,120.1,120.21,120.54,121.06,121.36,113.84,113.84,114.04,114.62,114.62,116.02,116.44,116.92,116.92,116.96,116.96,117.09,105.97,106.43,106.48,107.81,108.21,108.17,108.59,108.86,109.05,110.06,111.13,111.56,131.45,133.15,134.08,136.1,137.29,138.48,139.69,140.45,140.8,141.32,142.86,143.55
KOTA TANJUNG PINANG,120.95,121.68,122.11,122.8,123.77,123.8,123.91,124.17,124.71,125.73,126.29,128.69,123.91,123.93,124.29,124.74,124.93,124.94,125.07,125.08,125.48,126.18,126.38,129.46,113.68,114.35,114.98,115.32,119.22,119.25,119.29,119.89,120.6,121.18,122.97,123.17,118.42,121.39,121.86,123.57,124.33,124.39,124.55,125.27,126.02,128.46,129,131.3
DKI JAKARTA,125.31,125.88,127.22,127.74,128.2,129.04,129.76,131.68,132.1,132.59,133.08,133.42,130.96,131.63,132.65,133.31,133.62,134.5,135.4,138.38,138.88,139.06,139.97,140.15,112.44,112.69,114.32,114.8,115.12,116.09,116.67,117.21,117.26,118.12,117.85,118.25,122,122.59,124.7,124.79,125.91,126.49,126.71,126.76,127.33,128.46,128.46,129.27
