90 Kota Inflasi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2018=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,Makanan,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,
,2022,,,,,,,,,,,,2022,,,,,,,,,,,,2022,,,,,,,,,,,,2022,,,,,,,,,,,,2022,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,122.64,119.27,120.17,121.6,125.26,129.43,132.16,130.27,127.9,127.13,125.1,128.01,125.06,120.69,121.79,123.5,127.78,132.94,136.26,133.8,130.58,129.47,126.85,130.58,102.81,102.92,103.65,104.24,104.45,104.47,104.48,104.66,104.87,105.09,105.22,105.25,-,-,-,-,-,-,-,-,-,-,-,-,119.97,119.97,119.97,120.39,122.54,123.61,124.64,124.66,125.41,125.89,125.89,125.93
KOTA BANDA ACEH,112.74,108.92,109.48,111.52,113.91,117.2,118.66,115.63,114.13,112.23,112.54,114.91,113.1,108.13,108.75,111.17,113.84,117.86,119.58,115.66,113.77,111.19,111.1,113.99,102.69,102.72,102.86,103.02,104.57,104.93,105.51,105.8,105.82,105.87,105.87,106.4,-,-,-,-,-,-,-,-,-,-,-,-,117.49,118.45,118.94,119.77,120.91,121.54,121.85,122.32,122.37,123.5,126.69,126.91
KOTA LHOKSEUMAWE,118.31,114.12,116.42,117.74,120.1,121.6,121.89,118.05,118.23,118.1,116.53,121.04,120.33,114.49,117.43,119.07,122.07,123.97,124.23,119.21,119.4,119.03,116.32,122.1,105.14,105.19,105.25,105.19,105.28,105.49,106.48,107.54,107.84,109.79,109.79,109.79,-,-,-,-,-,-,-,-,-,-,-,-,114.75,117.47,117.47,117.85,117.85,117.85,117.85,117.85,117.85,117.85,121.91,121.91
KOTA SIBOLGA,115.96,115.24,117.39,115.56,117.27,121.12,123.17,121.79,120.36,116.61,115.79,119.65,117.37,116.44,119.17,115.2,117.36,122.3,124.93,123.15,121.2,116.39,115.26,119.45,104.46,104.46,104.87,105.93,105.93,105.99,105.99,105.99,107.9,108.14,108.38,110.75,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,112.31,112.37,112.37,119.24,119.37,119.37,119.37,119.43,119.43,119.43,119.65,122.48
KOTA PEMATANG SIANTAR,115.07,114.92,116.29,116.93,118.43,122.09,121.93,119.2,118.24,116.11,115.68,120.53,114.8,114.28,115.74,116.34,118.19,122.44,121.93,118.55,117.19,114.37,113.79,119.75,103.86,104.01,104.58,106.59,106.68,106.68,106.77,106.68,107.19,107.93,107.93,108.22,103.31,103.31,103.31,103.31,103.31,113.05,113.05,113.05,115.4,115.4,115.4,115.4,120.39,122.11,123.31,123.76,123.88,125,126.75,126.75,127.42,128.11,128.33,128.66
KOTA MEDAN,109.96,109.06,110.67,110.63,112.24,116.07,115.8,114.21,112.68,110.83,110.32,115.28,109.55,108.4,110.15,109.8,111.66,116.18,115.79,113.8,111.85,109.53,108.68,114.59,100.12,99.96,101.13,103.01,103.74,103.58,103.9,103.69,104.07,104.59,104.73,104.91,-,-,-,-,-,-,-,-,-,-,-,-,119.59,120.13,120.9,122.01,122.23,123.34,123.68,124.22,124.76,124.96,126.66,127.37
KOTA PADANGSIDIMPUAN,113.92,113.38,115.62,116.53,118.48,121.83,122.87,121.07,119.31,117.53,116.48,118.08,113.71,112.96,115.36,115.88,118.2,121.98,123.22,121.06,118.82,116.7,115.4,117.17,104.36,103.03,103,103.47,103.5,103.66,103.67,103.79,103.77,103.77,103.86,104.21,-,-,-,-,-,-,-,-,-,-,-,-,119.45,120.77,122.83,126.76,126.76,128.25,128.25,128.32,129.43,129.43,129.76,130.59
