150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2022=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,Makanan,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,Minuman Beralkohol,,,,,,,,,
,2024,,,,,,,,,,2024,,,,,,,,,,2024,,,,,,,,,,2024,,,,,,,,,,2024,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober
KAB DHARMASRAYA,109.71,112.36,114.57,114.05,113.98,115.21,111.15,109.56,109.12,108.65,111.75,115.09,117.88,117.2,116.82,117.54,112.43,110.42,109.86,109.28,99.9,99.9,99.9,100.01,106.08,107.29,107.34,107.34,107.34,107.34,102.36,102.36,102.36,102.41,102.41,106.02,106.02,106.02,106.02,106.02,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,109.03,115.38,117.34,114.52,115.38,115.63,111.08,110.04,108.06,108.14,108.29,115.72,118.19,114.68,115.75,115.89,110.07,108.76,106.24,105.21,101.43,101.6,101.6,99.21,99.47,99.47,99.47,99.47,99.75,100.34,114.27,117.06,117.06,117.41,117.41,118.25,118.53,118.53,118.53,123.6,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,109.4,112.1,113.79,111.56,114.25,114.23,110.56,110.11,108.17,108.41,108.95,112.36,114.4,111.38,114.7,114.64,109.94,109.24,106.71,106.87,103.27,103.28,103.22,103.71,103.45,103.52,103.63,104.02,104.31,104.98,114.39,114.39,115,115.74,116.31,116.5,116.69,117.29,117.53,117.99,-,-,-,-,-,-,-,-,-,-
KOTA BUKITTINGGI,105.57,108.43,111.27,110.79,111.53,111.76,109.49,108.53,107.51,107.59,105.09,108.62,112.14,111.45,112.14,112.3,109.33,108.08,106.66,106.57,101.68,101.68,101.75,101.75,101.74,102.38,102.6,102.82,102.82,102.66,109.81,110.06,110.2,110.69,112,112.46,113.19,113.36,114.2,115.38,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,105.87,106.59,109.67,110.23,111.3,111.22,108.21,106.11,105.39,106.69,105.12,105.98,109.33,109.86,111.15,110.69,106.93,104.42,103.55,105.03,104.53,104.73,104.73,104.83,104.83,104.69,106.81,106.38,106.38,107.28,111.62,111.62,114.06,115.06,115.06,117.72,117.72,117.74,117.74,117.94,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,108.49,110.59,112.12,111.32,111.48,109.71,106.07,105.55,104.42,105.01,107.79,110.4,112.32,111,111.04,108.64,103.55,102.79,101.37,101.81,99.18,99.23,98.07,98.07,99.08,100.09,103.91,103.32,102.85,102.85,113.97,113.97,114.07,115.72,116.3,117.18,119.32,120.02,120.23,121.69,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,106.62,107.84,110.02,108.89,110.22,110.41,107.76,106.05,104.86,104.36,105.96,107.46,110.15,108.73,110.36,110.63,107.37,105.22,103.63,102.96,103.76,103.74,103.75,104.16,104.2,103.76,103.71,103.77,104.18,104.38,112.02,112.02,112.02,112.02,112.04,112.04,112.04,112.18,112.78,113.04,-,-,-,-,-,-,-,-,-,-
KOTA DUMAI,106.58,107.91,110.5,108.88,111.26,110.88,108.12,107.44,106.62,106.55,105.69,107.24,110.24,108.13,110.65,110.18,106.46,105.56,104.23,103.91,101.8,102.02,102.19,101.34,102.32,102.33,102.4,102.78,104.13,105.97,114.91,115.5,116.78,117.82,120.07,120.07,121.93,122.07,123.34,123.81,-,-,-,-,-,-,-,-,-,-
KAB KERINCI,108.58,107.36,110.52,110.22,109.78,108.66,105.87,106.93,105.39,104.42,108.84,107.26,111.25,110.33,109.78,108.36,104.4,105.72,103.63,102.42,109.8,109.8,109.8,109.8,109.8,109.8,109.8,109.8,110.27,110.27,107.18,107.36,107.36,109.81,109.81,109.81,111.84,111.9,112.44,112.44,-,-,-,-,-,-,-,-,-,-
MUARA BUNGO,107.97,109.84,111.02,110.28,111.24,110.54,108.61,108.11,106.44,106.16,106.58,108.92,110.32,109.09,110.08,109.19,106.13,105.32,103.12,102.49,104.91,104.91,106.16,107.1,108.17,108.22,109.73,110.8,112.34,112.34,115.63,115.74,115.82,117.03,117.79,117.82,120.48,121.08,121.08,122.45,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,110.88,111.86,112.93,111.65,113.15,112.76,109.22,108.09,107.8,108.28,110.14,111.29,112.44,110.85,112.33,111.69,107.5,106.01,105.54,106.03,111.38,111.38,112.9,113.2,116.33,118.69,118.58,119.35,120.73,121.58,117.07,117.15,117.27,117.75,118.45,118.49,118.62,119.45,119.71,119.88,-,-,-,-,-,-,-,-,-,-
KAB OGAN KOMERING ILIR,110.71,110.47,109.86,109.92,109.83,109.2,107.51,106.47,106.09,105.81,110.77,110.46,109.7,109.77,109.67,108.86,106.74,105.34,104.87,104.51,102.75,102.75,102.75,102.75,102.75,102.75,102.75,104.21,104.21,104.21,112.2,112.2,112.2,112.2,112.2,112.2,112.2,112.2,112.2,112.2,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,112.07,110.31,108.31,108.97,108.15,108.05,107.73,107.73,107.58,107.8,111.64,109.35,107.13,107.85,106.54,106.11,105.32,104.82,104.3,104.53,120.59,123.78,118.04,120.32,127.63,134.6,143.95,155.53,155.53,155.53,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,114.25,114.47,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,109.25,110.18,112.03,112.55,112.7,112.07,109.66,108.13,107.4,107.55,108.75,109.82,111.87,112.25,112.25,111.44,108.6,106.75,105.72,105.9,106.14,106.67,106.87,107.2,106.97,107.83,107.72,107.76,108.3,108.3,114.71,114.71,115.73,117.45,119,119.13,119.18,119.53,120.66,120.69,-,-,-,-,-,-,-,-,-,-
KOTA LUBUK LINGGAU,105.77,106.58,107.18,107.49,107.79,107.3,105.86,104.51,103.97,104.03,105.21,106.12,106.75,107.02,107.25,106.58,104.71,103.03,102.33,102.12,109.34,109.71,110.54,110.87,111.85,112.57,113.94,114.66,114.59,117.52,108.37,108.63,108.96,109.55,110.14,110.47,110.99,111.15,111.57,112.47,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,104.73,108.05,107.9,107.87,108.66,108.39,104.49,103.06,101.55,101.04,103.69,107.83,107.36,107.18,107.87,107.05,101.82,99.99,97.87,97.15,116.71,116.7,118.71,118.71,119.25,125.22,125.22,125.22,125.37,125.22,107,107.38,108.27,108.84,110.1,111.08,112.23,112.23,113.05,113.4,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,107.66,109.58,110.43,110.36,110.77,110.5,108.78,108.11,107.35,106.96,106.82,109.16,109.77,110.06,109.87,109.75,107.4,106.43,105.27,104.66,106.15,107.29,106.62,100.41,105.29,101.98,101.89,102.14,104.27,105.36,112.52,112.55,115.09,115.25,117.24,117.24,118.18,118.73,119.08,119.31,-,-,-,-,-,-,-,-,-,-
KAB LAMPUNG TIMUR,114.82,115.43,116.67,115.72,116.2,115.15,113.83,112.91,112.29,113,116.91,117.67,118.66,117.12,117.33,115.28,113.17,110.87,110.1,111.01,108.97,108.97,115.54,116.96,118.32,125.09,128.83,143.94,143.94,143.2,105.72,105.72,106.78,108.24,109.91,111.88,113.2,115,115,115.05,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,114.15,115.05,116.85,118.45,117.94,117.66,116.56,116.23,115.15,116.27,113.48,114.54,116.69,118.73,118.08,117.19,115.53,113.66,111.92,113.47,101.9,101.52,101.77,101.65,101.65,102.8,102.09,111.73,117.52,115.7,120.97,121.52,122.07,122.07,122.07,124.3,125.76,129.8,129.8,129.8,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,108.02,109.7,110.31,110.32,110.44,110.13,109.65,109.7,108.55,109.03,107.15,109.18,109.54,109.42,109.19,108.55,107.62,107.4,105.92,106.43,110.14,110.24,113.08,113.54,117.84,120.09,123.43,124.12,123.82,123.67,112.94,112.94,114.2,114.97,115.46,116.17,116.98,118.52,119.23,119.74,-,-,-,-,-,-,-,-,-,-
KOTA METRO,110.6,112.85,114.47,113.96,112.8,112.69,111.81,111.28,110.67,111.17,109.3,112.04,113.93,113.16,111.59,111.39,110.3,109.64,108.58,109.2,102.71,103.84,106.04,105.54,105.19,106.51,106.42,106.49,106.49,106.49,119.59,119.59,119.59,120.48,121.24,121.25,121.26,121.26,122.79,122.81,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,104.73,106.59,105.36,108.14,107.56,103.87,103.88,108.3,106.66,105.46,102.73,105.08,103.5,106.8,106.07,101.33,100.92,106.43,104.36,102.72,107.52,107.52,107.52,107.52,107.52,107.52,107.52,107.52,107.52,107.52,114.04,114.04,114.16,115.28,115.28,115.66,117.84,118.24,118.24,118.87,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,101.66,102.91,103.29,103.15,101.71,100.58,99.1,97.69,98.07,97.87,100.08,101.52,101.7,101.54,99.81,97.73,95.96,94.27,94.69,94.46,107.19,107.19,109.08,109.08,109.08,109.08,109.04,109.04,109.73,109.73,110.62,110.94,112.16,112.16,112.16,117.24,117.24,117.24,117.24,117.24,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,99.39,99.81,100.48,100.96,101.15,99.54,97.5,99.14,98.01,97.55,98.08,98.61,99.45,100.05,100.28,98.27,95.72,97.77,96.36,95.79,105.47,105.47,105.47,105.47,105.47,105.47,105.47,105.47,105.47,105.47,104.29,104.29,104.29,104.29,104.29,104.29,104.29,104.29,104.29,104.29,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,106.48,108.01,108.79,109.08,108.43,108.98,108.11,107.6,106.99,106.96,104.56,106.46,107.37,107.65,106.34,106.83,104.93,104.15,102.89,102.81,106.88,106.88,106.85,108.08,108.27,109.27,114.03,115.39,118.06,118.71,117.5,117.5,117.81,117.81,120.7,121.4,124.39,124.76,126.63,126.63,-,-,-,-,-,-,-,-,-,-
KAB KARIMUN,106.09,106.31,107.71,107.08,107.76,108.64,109.11,107.54,107.63,107.1,105.58,105.66,107.14,106.24,107,107.6,108.06,105.97,105.73,105.1,107.21,107.45,107.53,107.53,108.38,108.38,109.66,109.59,113.38,113.38,109.53,110.88,112.42,113.59,113.59,117.15,117.25,118.96,119.52,119.52,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,109.35,108.42,109.58,108.41,110.24,110.83,109.13,108.01,108.24,107.8,108.44,107.29,108.66,107.22,109.37,109.96,107.98,106.56,106.69,106.05,106.77,107.14,107.14,107.49,107.49,108.07,107.43,107.49,108.04,108.81,120.47,120.61,120.81,121,121.29,121.77,121.96,122.68,123.6,124.08,103.27,101.86,101.81,102.32,102.32,102.32,102.32,103.04,103.06,103.06
KOTA TANJUNG PINANG,106.96,106.74,107.83,106.41,108.47,108.97,107.04,106.96,106.36,105.93,106.38,106.13,107.26,105.55,107.78,108.32,105.96,105.58,104.6,103.88,102.21,102.23,102.92,102.87,102.67,103.19,103.41,103.75,103.75,105.99,114.6,114.6,115.52,115.68,117.82,117.92,118.22,120.31,122.56,122.91,-,-,-,-,-,-,-,-,-,-
KOTA JAKARTA,107.78,109.12,110.57,110.4,109.27,109.1,108.09,107.71,107.07,107.17,107.97,109.52,111.29,110.98,109.5,109.3,107.91,107.3,106.4,106.43,102.46,103.43,103.58,104.07,104.33,104.22,104.63,105.26,105.92,106.45,111.83,111.87,111.97,112.28,112.56,112.56,113.24,113.58,113.68,113.95,-,-,-,-,-,-,-,-,-,-
KAB BANDUNG,108.11,108.99,110.08,109.62,109.23,109.25,109.19,108.54,107.9,108.16,108.01,109.13,110.3,109.81,109.31,109.45,109.11,108.01,106.97,107.07,112.74,112.74,112.75,111.72,109.38,108.23,109.35,110.69,111.64,112.56,106.08,106.08,107.37,107.37,108.7,108.7,109.52,110.25,110.92,111.66,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,109.7,110.8,112.26,111.61,110.21,110.38,110.36,110.15,109.84,110.04,110.6,112.09,114.06,113.12,111.14,111.28,111,110.14,109.59,109.74,107.16,107.24,107.45,107.51,107.39,107.35,109.51,114.08,114.08,114.1,107.3,107.38,107.38,107.55,107.81,108.21,108.22,108.34,108.83,109.3,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,110.62,110.71,111.2,111.26,109.65,108.68,109.7,109.3,108.07,108.49,112.61,112.84,113.51,113.6,111.03,109.82,110.74,110.08,108.41,108.56,100.93,100.19,100.19,100.14,100.14,99.44,102.6,103.39,103.39,103.99,107.92,107.92,107.92,107.92,109.75,109.75,109.75,109.75,109.75,111.28,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,108.4,110.73,112.42,112.41,111.96,111.07,110.1,109.49,108.54,108.75,108.76,111.53,113.5,113.34,112.63,111.64,110.24,109.09,107.52,107.62,104.18,104.27,105.24,105.21,105.29,103.8,104.63,104.8,105.03,105.17,108.63,109.34,109.55,110.5,111.54,111.81,112.63,115.25,117.85,118.92,-,-,-,-,-,-,-,-,-,-
KOTA SUKABUMI,108.69,109.81,111.19,111.47,111,110.24,109.68,109.45,108.67,108.96,108.29,109.67,111.43,111.79,111.02,110.03,109.15,108.76,107.75,107.77,104.76,105.33,105.34,105.34,105.73,105.73,105.73,106.49,106.49,109.86,112.67,112.78,113.01,113.01,113.56,113.56,114.26,114.3,114.31,114.31,-,-,-,-,-,-,-,-,-,-
KOTA BANDUNG,108.71,109.89,111.4,111.26,110.86,110.65,110.32,110.35,109.54,109.76,107.65,109.15,110.87,110.34,109.67,109.29,108.64,108.26,106.77,106.97,103.82,103.85,104.17,104.19,104.19,103.78,104.06,104.78,106.09,107.04,114.2,114.64,115.87,117.02,117.44,117.91,118.47,119.65,120.51,120.54,-,-,-,-,-,-,-,-,-,-
KOTA CIREBON,105.65,107.38,109.3,109.37,108.27,107.06,106.33,105.8,104.79,105.19,104.31,106.42,108.54,108.48,107.12,105.66,104.71,104.04,102.67,103.15,106.4,106.29,105.95,106.39,106.69,106.66,106.69,106.81,106.8,106.44,114.74,114.74,116.36,117.17,117.17,117.17,117.61,117.73,118.83,119.04,-,-,-,-,-,-,-,-,-,-
KOTA BEKASI,110.63,112.27,114.65,114.03,113.75,113.7,113.34,112.83,111.14,110.07,109.92,111.99,115.02,114.21,113.53,113.46,113,112.23,110.08,108.62,106.08,106.07,105.58,105.89,106.2,106.2,106.35,107.01,106.46,107.66,119.16,119.16,119.16,119.16,121.25,121.25,121.25,121.52,122.2,122.2,-,-,-,-,-,-,-,-,-,-
KOTA DEPOK,107.66,109.57,111.03,110.48,109.47,108.92,108.2,108.71,108.21,108.26,107.87,110.25,112.15,111.42,110.06,109.27,108.44,107.77,106.91,106.87,101.36,101.36,101.52,101.52,101.46,101.46,100.61,108.8,110.22,110.8,111.42,112.11,112.11,112.11,112.38,112.81,112.81,114.07,114.07,114.19,-,-,-,-,-,-,-,-,-,-
