90 Kota Inflasi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2018=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,Makanan,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,
,2020,,,,,,,,,,,,2020,,,,,,,,,,,,2020,,,,,,,,,,,,2020,,,,,,,,,,,,2020,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,111.87,111.17,112.4,110.86,112.56,112.31,111.23,112.7,112.93,113.97,114.12,116.94,112.94,112.03,113.61,111.62,113.39,113.07,111.67,113.45,113.75,115.11,115.29,118.94,103.1,103.1,103.07,103.07,103.14,103.16,103.16,103.16,103.16,103.08,103.12,102.86,-,-,-,-,-,-,-,-,-,-,-,-,110.66,110.68,110.78,110.78,112.9,112.9,112.9,113.49,113.49,113.49,113.49,113.51
KOTA BANDA ACEH,102.37,102.38,103.94,103.44,103.37,102.69,100.9,101.74,100.82,103.5,104.39,107.46,100.74,100.92,102.73,102.08,102,101.18,98.92,100.04,98.8,102.11,103.23,107.09,104.93,103.36,103.37,103.55,103.55,103.06,103.2,102.57,102.65,102.87,102.9,102.92,-,-,-,-,-,-,-,-,-,-,-,-,111.25,111.25,112.29,112.29,112.29,112.29,112.29,112.29,112.75,113.07,113.07,113.07
KOTA LHOKSEUMAWE,103.34,104.4,105.81,104.84,104.87,104.85,103.37,103.79,103.62,106.49,107.15,111.39,101.6,102.94,104.75,103.51,103.54,103.46,101.57,102.11,101.89,105.26,106.1,111.49,106.79,106.79,106.79,106.79,106.86,106.86,106.86,106.89,106.89,106.89,106.89,106.89,-,-,-,-,-,-,-,-,-,-,-,-,111.24,111.35,111.35,111.35,111.35,111.63,111.63,111.63,111.63,113.41,113.41,113.6
KOTA SIBOLGA,104.91,106.78,104.37,102.76,102.66,102.9,102.03,101.71,102.55,105.45,106.16,108.94,104.02,106.42,103.31,101.22,101.09,101.4,100.26,99.84,100.93,104.65,105.56,109.13,103.37,103.15,103.15,103.55,103.55,103.55,103.55,103.55,103.55,103.55,103.55,103.55,116.67,116.67,116.67,116.67,116.67,116.67,133.33,133.33,133.33,133.33,133.33,133.33,109.06,109.12,109.18,109.18,109.18,109.18,109.18,109.18,109.18,109.18,109.18,109.18
KOTA PEMATANG SIANTAR,104.71,105.12,104.45,103.52,104.55,104.2,102.1,101.99,102.75,104,105.84,109.65,104.33,104.68,103.4,102.25,103.51,103.05,100.4,100,100.98,102.54,104.84,109.57,101.72,101.41,102.38,102.4,102.66,102.8,103.59,104.07,103.39,103.36,103.36,103.36,103.31,103.31,103.31,103.31,103.31,103.31,103.31,103.31,103.31,103.31,103.31,103.31,107.69,108.75,110.89,110.89,110.89,111,111,112.24,112.24,112.24,112.24,112.24
KOTA MEDAN,102.89,103.32,102.67,101.85,102.63,102.49,101.54,101.31,101.28,102.62,103.22,105.28,101.83,102.27,101.45,100.57,101.52,101.41,100.26,99.96,99.89,101.48,102.26,104.76,101.92,101.99,102.35,100.93,100.91,100.28,100.25,99.91,100.31,100.69,100.24,100.15,-,-,-,-,-,-,-,-,-,-,-,-,111.72,112.27,112.27,112.27,112.27,112.27,112.27,112.65,112.65,112.65,112.65,112.65
KOTA PADANGSIDIMPUAN,103.08,102.97,103.91,103.54,104.86,105.01,104.02,103.28,102.38,104.12,105.39,108.18,102.13,101.77,102.81,102.37,103.86,103.87,102.62,101.7,100.63,102.69,104.19,107.5,104.27,104.27,104.31,104.1,104.4,104.57,104.49,102.92,102.8,103.01,103.12,103.15,-,-,-,-,-,-,-,-,-,-,-,-,109.75,111.39,112,112.05,112.53,113.72,114.33,115.25,115.32,115.32,115.32,115.32
KOTA GUNUNGSITOLI,106.8,105.11,106.41,104.15,104.9,105.52,105.13,105.92,108.3,109.67,109.9,114.19,107.42,105.25,106.77,104.03,104.92,105.43,104.96,105.92,108.8,110.46,110.74,115.93,101.95,101.95,101.95,101.95,101.95,101.95,101.95,101.95,101.95,101.95,101.95,101.95,100,100,100,100,100,100,100,100,100,100,100,100,105.9,107.05,107.53,107.65,107.82,110.09,110.09,110.09,110.09,110.09,110.09,110.09
KOTA PADANG,105.33,105.02,104.44,103.22,103.6,103.25,102.9,102.73,103.21,105.42,106.2,108.18,104.43,104.04,103.22,101.73,101.97,101.46,100.86,100.51,101.08,103.78,104.62,107.06,111.07,111.1,111.88,111.88,112.09,113.03,113.04,113.16,113.12,113.18,113.38,113.38,-,-,-,-,-,-,-,-,-,-,-,-,108.13,108.16,108.41,108.41,109.88,109.88,111.08,112,112.2,112.2,112.91,112.91
KOTA BUKITTINGGI,102.35,103.43,103.24,103.22,104.28,103.44,102.15,101.27,101.14,103.47,104.57,105.63,100.96,101.55,101.2,100.93,102.27,101.12,99.47,98.35,98.17,101.02,102.36,103.6,104.89,105.24,105.24,105.33,105.35,105.39,105.39,105.45,105.43,105.73,105.82,105.87,-,-,-,-,-,-,-,-,-,-,-,-,108.27,112,112.59,113.75,113.75,114.11,114.16,114.16,114.16,114.7,115.05,115.55
TEMBILAHAN,105.1,105.83,105.11,105.44,106.94,108.99,105.9,104.67,103.76,105.56,107.28,108.65,104.46,105.32,104.45,104.39,106.04,108.51,104.79,103.28,102.18,104.31,106.4,108.05,101.96,102.44,102.41,102.41,102.52,102.58,102.58,102.95,102.95,103.5,103.5,103.5,-,-,-,-,-,-,-,-,-,-,-,-,110.71,110.71,110.71,113.86,114.85,114.85,114.85,114.85,114.85,114.85,114.85,114.85
KOTA PEKANBARU,103.23,104.17,103.9,102.65,103.49,103.13,102.5,102.15,102.17,104.44,105.56,107.35,102.93,103.89,103.41,101.67,102.72,102.25,101.31,100.74,100.44,103.32,104.65,106.9,102.92,103.33,103.49,103.49,103.49,103.42,104.96,104.94,104.63,104.63,104.71,104.71,-,-,-,-,-,-,-,-,-,-,-,-,105.11,106.26,106.86,107.81,107.88,108.04,108.04,108.71,110.77,110.77,111.19,111.27
KOTA DUMAI,104.89,105.23,104.91,104.04,105.45,106.02,105.15,104.56,104.16,105.67,106.92,109.84,102.35,102.56,102.14,101,102.79,103.48,102.35,101.57,101.03,102.99,104.29,108.07,102.78,102.99,102.99,102.99,102.98,103.11,103.12,103.1,103.12,103.09,103.14,103.18,-,-,-,-,-,-,-,-,-,-,-,-,118.39,119.45,119.45,119.51,119.74,119.91,119.95,119.99,120.05,120.05,121.72,121.77
BUNGO,105.73,106.63,104.49,103.77,104.92,105.69,103.73,102.61,102.63,104.8,106.54,108.61,105.48,106.65,103.69,102.64,103.83,104.7,101.96,100.38,100.15,102.99,105.28,107.98,100.93,101.14,101.68,103.07,103.55,102.83,102.87,102.87,102.88,102.88,102.88,103.33,-,-,-,-,-,-,-,-,-,-,-,-,108.02,108.02,108.45,108.45,109.66,110.42,111.03,111.51,112.54,112.58,112.58,112.58
KOTA JAMBI,103.81,103.96,101.95,99.88,100.39,102,101.06,99.91,100.33,102.93,105.06,107.51,103.09,103.04,100.5,97.96,98.28,100.25,98.98,97.54,97.87,100.93,103.4,106.35,104.71,100.19,100.29,100.29,99.27,99.28,100.45,100.43,101.1,101.65,102.69,102.78,-,-,-,-,-,-,-,-,-,-,-,-,108.22,112.08,112.58,112.58,115.12,115.12,115.35,115.57,116.49,117,117.4,117.7
