Kota Inflasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2012=100) Menurut Kelompok 02 Makanan Jadi, Minuman, Rokok dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan Jadi, Minuman, Rokok dan Tembakau",,,,,,,,,,,,Makanan Jadi,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,Tembakau dan Minuman Beralkohol,,,,,,,,,,,
,2016,,,,,,,,,,,,2016,,,,,,,,,,,,2016,,,,,,,,,,,,2016,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,125.78,127.55,127.98,128.09,128.41,128.84,129.38,130.51,131.29,131.27,132.41,132.36,124.21,127.49,127.49,127.66,127.66,127.66,127.66,129.86,129.86,129.86,129.86,129.86,113.87,114.54,114.24,114.39,115.91,117.25,119.52,119.2,122.94,122.89,122.4,122.06,136.79,136.79,138.45,138.45,138.45,138.96,139.19,139.54,139.54,139.54,143.74,143.8
KOTA BANDA ACEH,112.25,112.61,113.2,113.86,114.88,115.72,116.18,116.64,116.8,117.09,117.91,118.34,103.49,103.49,104.11,104.11,104.11,104.3,104.49,104.94,104.99,105.01,105.88,106.1,110.73,111.11,112.2,112.65,113.95,114.98,116.45,115.64,114.27,113.89,113.81,113.96,134.69,135.9,135.9,138.35,141.53,143.75,143.88,145.58,147.52,149.07,150.68,151.88
KOTA LHOKSEUMAWE,113.47,113.72,114.05,114.34,115.16,116.59,116.89,117.06,117.25,117.6,117.68,118.35,112.43,112.43,112.9,112.96,112.99,114.34,114.43,115.12,115.67,115.86,115.86,116.09,107.43,108.44,108.53,109.04,110.41,113.45,114.45,113.73,113.38,113.49,113.38,113.51,121.63,121.63,121.89,122.42,124.32,124.32,124.32,124.32,124.32,125.25,125.67,127.77
KOTA SIBOLGA,125.07,125.54,125.76,125.77,127.14,127.7,128.56,129.46,129.91,130.45,131.06,131.03,121.53,122.39,122.73,122.79,123.19,123.24,123.24,123.65,123.62,123.99,123.99,124.02,113.91,114.02,114.24,114.12,117.79,119.16,120.04,119.85,118.58,118.03,118.37,118.13,137.06,137.06,137.06,137.06,138.91,139.94,142.3,144.63,146.78,148.17,149.99,149.99
KOTA PEMATANG SIANTAR,140.28,141.47,142.06,142.68,144.09,145.12,145.54,145.73,145.25,145.99,145.98,145.93,134.62,137.01,136.82,137.64,137.88,138.45,138.37,138.37,138.35,138.35,138.45,138.45,116.7,116.79,117.75,119.11,124.16,128.87,131.75,128.97,126,125.66,125.25,124.94,157.82,157.92,159.38,159.4,160.79,160.83,160.83,162.55,162.55,164.71,164.72,164.72
KOTA MEDAN,122.63,126.83,128.78,129.2,130.37,131.84,132.81,133.49,135.46,135.55,136.37,136.95,117.56,121.34,122.23,122.58,123.33,123.98,124.6,125.95,127.46,127.73,128.28,128.36,115,117.96,118.83,119.71,123.06,128.07,131.4,130.74,129.18,128.8,129.91,129.85,139.37,145.42,150.51,150.75,151.29,152.04,152.12,152.28,157.77,157.81,159.03,161.18
KOTA PADANGSIDIMPUAN,125.94,126.88,126.89,126.91,127.21,127.46,127.71,128.32,128.93,131.38,131.38,133.14,117.37,117.38,117.39,117.39,117.61,117.63,117.66,117.92,118.12,118.09,118.09,119.67,126.46,126.61,126.69,126.82,127.99,129.63,130.11,130.73,129.62,130.06,130.04,131.56,140.32,143.22,143.22,143.22,143.22,143.22,143.74,144.92,147.08,154.7,154.7,156.87
KOTA PADANG,124.03,124.53,125.2,125.5,126.47,127.5,127.94,128.35,128.93,129.54,129.76,130.29,120.54,121.25,121.24,121.27,121.31,121.3,121.32,121.43,121.48,122.37,122.4,122.49,111.79,112.27,112.49,112.96,114.71,117.32,119.21,119.95,118.95,118.99,118.87,119.4,141.26,141.26,143.93,144.76,147.45,149.93,150.38,151.24,154.27,154.59,155.54,157.13
KOTA BUKITTINGGI,117.59,118.13,118.61,118.93,119.57,120.61,120.67,121.36,122.58,122.9,123.72,123.67,111.89,111.94,112.29,112.72,112.92,113.07,113.07,114.06,114.38,114.89,115.33,115.45,106.48,106.73,107.14,107.47,110.33,114.06,114.44,114.03,114.13,112.81,113.13,112.3,138.38,140.31,141.16,141.21,141.57,143.13,143.13,143.75,147.85,148.74,150.8,150.8
TEMBILAHAN,124.64,126.09,126.26,126.4,127.15,128.54,128.71,128.75,128.43,128.57,128.52,128.4,123.31,124.08,124.08,124.08,124.08,124.08,124.08,124.08,124.08,124.08,124.08,124.08,129.86,131.11,132.09,132.11,134.82,136.56,137.5,137.75,135.83,135.32,135.06,134.39,124.07,127.5,127.5,128.12,129.3,134.13,134.13,134.13,134.23,135.22,135.22,135.22
KOTA PEKANBARU,129.37,129.81,129.85,130.61,131.34,131.77,134.3,134.21,134.54,134.97,137.4,137.67,128.92,129.52,129.52,130.35,130.77,131,134.79,134.81,135.07,135.11,137.44,137.48,118.47,118.9,119.13,119.17,121.1,122.55,124.03,123.35,123.71,124.2,128.22,128.3,138.63,138.64,138.64,139.78,140.39,140.56,140.71,140.77,141.3,142.65,144.15,145.15
KOTA DUMAI,132,132.95,133.5,133.76,134.7,135.54,135.79,136.09,137.2,138.69,140.35,140.51,125.92,125.92,126.41,126.41,126.44,126.44,126.44,126.65,126.75,127.8,128.24,128.39,139.06,139.56,139.78,140.07,140.23,141.87,143.2,143,142.45,142.13,145.68,145.99,139.71,142.94,143.86,144.63,148.01,150.05,150.05,150.89,155.27,158.93,161.8,161.88
BUNGO,122.52,123.01,123.13,124.06,124.78,126.11,126.95,127.13,126.97,127.24,128.26,128.18,117.81,117.88,118.04,118.59,118.59,119.86,119.86,119.97,119.97,120.02,120.02,120.03,121.5,121.6,121.78,122.62,125.1,128.16,129.28,128.86,127.21,126.97,127.04,126.5,132.16,133.69,133.69,135.4,136.58,137.07,139.42,140.04,140.37,141.34,144.84,144.84
KOTA JAMBI,126.79,127.9,129.12,129.62,130.76,131.9,132.68,133.85,133.67,134.21,134.35,134.23,128.29,128.33,129.5,129.6,130.19,130.83,131.47,132.6,132.65,132.84,133.14,133.24,117.54,118.49,120.09,120.41,122.71,125.14,127.16,127.29,125.38,125.17,124.93,123.97,129.92,133.53,134.61,136.13,137.67,139.03,139.28,141.26,141.8,143.65,143.65,143.65
KOTA PALEMBANG,127.71,129.67,130.25,131.58,133.89,135.32,136.83,139.11,139.19,139.85,140.77,140.76,125.08,125.85,126.78,127.73,128.48,129.21,130.71,132.59,133.35,133.35,133.87,133.87,109.98,111.76,112.09,112.99,116.76,118.39,119.45,120.83,118.85,118.26,118.24,118.17,145.03,149.62,149.62,152.02,156.67,159.44,161.27,164.99,164.99,167.87,170.28,170.28
KOTA LUBUKLINGGAU,121.86,122.87,123.84,124.01,124.38,124.77,124.98,125.14,125.94,125.84,125.88,125.73,116.23,116.23,117.08,117.08,117.08,117.12,117.12,117.12,117.12,117.18,117.81,117.82,120.1,120.75,120.85,121.84,123.99,126.11,127.35,128.3,127.14,124.72,122.74,121.35,132.42,135.34,137,137,137,137,137,137,140.25,141.16,141.34,141.61
KOTA BENGKULU,124.34,125.13,125.77,126.49,127.25,128.59,129.21,129.61,130.53,131.06,131.73,132,125.68,126.2,126.2,126.27,126.3,128.07,128.24,128.62,129.67,130.26,130.48,130.94,114,115.75,118.6,119.36,121.28,122.73,123.58,122.75,122.52,122.74,123.07,122.86,127.59,128.43,129.11,131.21,132.83,133.19,134.64,135.81,137.12,137.75,139.58,139.71
