Kota Inflasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2012=100) Menurut Kelompok 02 Makanan Jadi, Minuman, Rokok dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan Jadi, Minuman, Rokok dan Tembakau",,,,,,,,,,,,Makanan Jadi,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,Tembakau dan Minuman Beralkohol,,,,,,,,,,,
,2017,,,,,,,,,,,,2017,,,,,,,,,,,,2017,,,,,,,,,,,,2017,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,133.52,133.52,136.5,136.47,136.47,136.86,136.98,137.12,137.24,137.4,137.39,139.55,132.17,132.17,132.17,132.17,132.17,132.98,133.37,133.37,133.49,133.83,133.83,133.83,121.94,121.92,121.92,121.78,121.78,121.71,121.27,121.15,121.11,121.07,120.99,120.99,143.94,143.94,154,154,154,154,154.09,154.66,154.87,154.87,154.87,162.19
KOTA BANDA ACEH,118.5,118.54,119.32,120.67,121.5,121.53,122.04,122.22,122.25,124.28,124.31,124.61,106.42,106.42,106.94,109.42,109.42,109.56,109.68,109.68,109.66,113.26,113.26,113.37,113.86,113.93,113.86,113.85,114.52,114.13,114.24,114.59,114.81,114.91,114.81,114.79,151.88,151.98,154.21,154.21,157.18,157.35,159.18,159.59,159.59,159.72,159.95,161.03
KOTA LHOKSEUMAWE,118.53,118.44,118.61,118.59,118.6,119.27,121.6,121.28,121.56,121.59,121.58,121.55,116.41,116.55,116.68,116.68,116.68,117.4,121.23,121.39,121.36,121.36,121.36,121.36,113.6,112.19,112.4,112.33,112.36,112.45,112.91,111.27,110.23,110.35,110.31,110.19,127.77,128.53,128.73,128.73,128.73,129.86,131,131,133.27,133.27,133.27,133.27
KOTA SIBOLGA,131.72,131.89,132.74,134.67,134.72,135.64,136.47,136.47,137.06,137.19,137.21,137.52,124.02,124.05,124.05,125.66,125.66,125.78,125.78,125.72,125.84,125.84,125.84,126.42,118.46,119.3,119.27,118.95,118.89,119.11,119.51,119.7,119.59,119.35,119.18,119.16,152.08,152.11,154.92,158.59,158.77,161.46,163.96,163.96,165.75,166.28,166.46,166.46
KOTA PEMATANG SIANTAR,145.96,146.53,146.93,146.43,147.27,147.47,147.42,147.52,147.82,148.06,148.61,148.77,138.48,139.67,140.3,140.14,140.13,140.14,140.1,140.25,140.61,140.75,140.75,140.61,125.06,125.05,124.87,122.19,122.17,120.78,120.5,120.69,120.64,121.07,121.2,121.15,164.72,164.72,165.06,165.06,167.39,168.51,168.55,168.56,168.92,169.21,170.66,171.32
KOTA MEDAN,137.04,137.62,138.27,137.93,138.57,139.63,139.86,139.92,140.39,140.36,140.4,140.03,128.57,128.57,129.18,129.2,130.51,131.98,132.14,132.24,133.19,133.47,133.57,133.47,129.46,129.27,130.87,127.87,127.12,127.97,128.6,128.65,128.27,126.91,126.81,124.77,161.34,163.79,163.83,164.59,164.74,165.03,165.11,165.12,165.12,165.33,165.35,165.58
KOTA PADANGSIDIMPUAN,133.31,133.47,134.27,134.68,134.92,135.21,135.74,136.54,136.76,136.98,136.96,137.4,119.8,119.81,119.8,120.01,120.04,120.2,120.37,120.48,120.48,120.48,120.34,120.34,131.56,131.6,131.54,131.65,131.51,131.15,131.09,131.09,131.26,131.09,131.14,130.97,157.21,157.68,160.27,161.17,161.95,162.76,164.19,166.55,167.15,167.93,168.08,169.55
KOTA PADANG,132.51,132.71,132.85,132.93,132.89,133.23,134.27,134.5,134.82,135.08,135.17,135.23,123.82,123.97,124.14,124.16,124.2,124.32,125.67,125.68,125.7,125.8,125.81,125.76,121.95,121.77,121.64,121.73,121.3,121.05,121.61,122.16,121.43,121.64,121.78,121.31,161.3,161.9,162.16,162.38,162.38,163.7,164.32,164.88,166.68,167.36,167.64,168.33
KOTA BUKITTINGGI,123.84,123.88,124,123.88,123.81,124.43,124.65,124.91,124.88,124.95,124.99,125.2,115.52,115.67,115.74,115.74,115.72,115.95,116.07,116.29,116.3,116.52,116.56,116.89,111.5,111.22,111.3,110.52,109.45,109.26,109.17,109.15,108.89,108.52,108.52,108.42,151.81,151.81,152.04,152.04,152.45,154.55,155.19,155.71,155.71,155.71,155.77,155.87
TEMBILAHAN,128.39,128.42,128.34,128.31,128.29,128.23,128.96,129.09,129.09,129.1,130.35,130.43,124.08,124.08,124.08,124.08,124.08,124.08,124.08,124.08,124.08,124.08,126.09,126.09,134.31,134.51,134.05,133.88,133.76,133.42,133.02,132.76,132.55,132.6,132.89,132.83,135.22,135.22,135.22,135.22,135.22,135.22,138.79,139.54,139.72,139.72,139.72,140.11
KOTA PEKANBARU,139.26,139.5,139.81,139.69,139.61,139.7,141.02,141.42,142.49,142.8,143.24,143.79,137.47,137.61,137.75,137.87,137.8,137.81,139.75,139.93,139.97,140.16,140.14,140.17,128.29,128.35,128.23,126.96,126.6,126.72,126.8,126.62,126.72,126.88,126.62,126.5,151.92,152.56,153.58,153.74,153.85,154.14,154.8,156.18,160.56,161.27,163.41,165.78
KOTA DUMAI,141.73,141.93,142.27,142.24,142.09,142.08,142.25,142.34,142.34,142.62,143,143.43,129.72,129.72,129.78,129.79,129.76,129.72,130.06,130.37,130.39,130.39,130.39,130.46,147.31,147.18,148.09,147.83,145.52,145.47,144.7,144.16,144.06,144.3,145.46,145.58,162.8,163.65,164.16,164.23,165.33,165.39,165.86,165.95,165.99,166.87,167.48,168.89
BUNGO,128.65,129.08,129.24,129.25,129.1,129.08,133.46,134.52,134.52,135.09,135.1,135.07,120.03,121,121.08,121.16,121.16,121.16,128.23,128.7,128.7,128.96,128.96,128.96,126.63,125.9,126.32,124.44,123.46,123.33,124.54,125.46,125.44,126.27,125.81,125.56,146.4,146.4,146.56,147.45,147.45,147.45,148.35,150.63,150.63,151.67,151.95,151.95
KOTA JAMBI,135.65,135.85,136.14,136.32,136.96,137.14,138.21,138.37,138.62,138.65,138.94,139.17,133.5,133.85,133.85,133.9,134.05,134.38,135.25,135.3,135.6,135.76,135.81,135.84,123.72,123.72,123.82,123.59,123.57,123.45,125.1,125.64,125.8,124.99,123.83,123.73,148.85,148.85,149.95,150.67,152.91,152.96,154.05,154.22,154.41,154.73,156.57,157.48
KOTA PALEMBANG,141.01,141.1,141.47,141.1,141.1,141.97,142.41,142.78,143.24,143.34,143.88,143.95,133.92,133.95,134.1,134.13,134.36,135.19,135.34,135.66,136.16,136.3,137.35,137.36,117.59,117.76,118.07,115.37,113.16,112.98,113.48,114.43,114.77,114.45,114.13,113.68,171.51,171.68,172.52,172.87,173.87,175.52,176.53,176.6,177.05,177.36,177.36,177.93
KOTA LUBUKLINGGAU,127.13,127.95,128.08,128.71,128.98,129.18,129.51,129.49,129.81,130.46,132.03,132.12,119.08,119.08,119.08,119.08,119.08,119.08,119.08,119.28,119.84,120.52,122.06,122.06,122.64,121.97,121.56,121.77,122.13,123.14,124.03,123.3,122.64,122.55,122.67,121.75,143.3,146.36,147.01,148.95,149.62,149.72,150.28,150.28,150.73,151.74,154.2,155
KOTA BENGKULU,132.85,133.73,133.78,133.71,133.76,134.42,135.07,135.22,135.41,135.35,135.6,135.88,131.76,132.73,132.77,132.99,133.03,133.07,133.97,134.06,134.08,134.07,134.35,134.35,122.49,122.58,122.48,121.03,120.17,119.73,120.14,120.21,120.1,119.77,120.32,120.28,141.34,142.51,142.65,142.81,143.39,146.05,146.31,146.65,147.36,147.36,147.36,148.44
KOTA BANDAR LAMPUNG,129.13,130,130.06,129.89,130.07,130.12,130.82,131.06,131.1,130.88,131.04,131.42,129.38,130.68,130.68,130.68,130.66,130.64,131.48,131.37,131.61,131.43,131.2,132.29,119.65,120.35,120.13,119.09,120.22,120.51,121.75,121.27,120.73,120.06,119.3,117.88,135.59,135.59,135.99,136.03,136.03,136.03,136.03,137.62,137.62,137.62,139.45,139.45
KOTA METRO,127.35,128.22,128.07,127.87,128.64,128.4,129.14,128.88,128.81,129.01,128.89,128.76,128.1,128.51,128.19,128.4,128.71,128.64,129.67,129.44,129.19,129.11,129.03,128.82,129.89,131.53,130.71,128.75,129.75,127.77,127.66,126.86,127.06,127.65,127.12,126.56,124.58,125.87,126.39,126.4,127.89,128.33,129.01,129.01,129.1,129.6,129.6,129.88
TANJUNG PANDAN,136.64,136.94,137.06,138.33,138.88,139.71,140.81,140.95,141.86,144.42,144.35,145.6,138.94,139.13,139.13,140.25,140.25,141.68,142.12,142.26,143.8,147.95,147.95,149.53,121.77,121.83,122,123.84,124.01,123.59,123.3,123.6,123.33,123.12,122.72,123.56,140.84,141.62,142.05,143.33,145.73,145.73,149.73,149.73,149.73,149.73,149.73,150.28
KOTA PANGKAL PINANG,136.11,136.09,136.8,136.73,135.89,136.13,136.58,136.69,136.78,136.66,136.82,136.88,131.01,131.01,131.62,131.62,131.64,131.78,132.64,132.65,132.65,132.66,132.94,132.94,129.05,128.92,129.18,128.78,122.79,121.43,121.23,121.86,122.36,121.61,121.67,121.8,151.68,151.7,152.91,152.92,153.62,155.11,155.11,155.11,155.11,155.11,155.11,155.22
KOTA BATAM,126.81,127.08,127.97,127.59,128.24,128.16,128.22,128.5,128.87,129.19,129.6,129.91,119.41,119.42,119.42,119.42,120.23,120.23,120.23,120.23,120.7,120.83,120.93,121.25,114.75,115.82,115.99,114.08,113.32,112.17,112.18,112.05,112.44,112.76,112.86,112.95,160.46,160.7,164.93,164.93,166.46,167.21,167.48,168.99,169.03,169.91,171.55,172.04
KOTA TANJUNG PINANG,136.95,137.59,137.97,138.18,139.15,139.7,140.46,141.16,141.33,141.48,141.54,141.91,134.84,135.2,135.2,135.39,136.41,136.95,137.06,137.05,137.4,137.4,137.4,137.66,129.41,129.65,129.44,129.44,129.8,130.63,130.72,130.96,130.14,130.32,130.12,129.92,150.17,152.03,154.11,154.55,155.93,156.28,159.61,162.86,163.39,163.97,164.43,165.66
DKI JAKARTA,139.17,139.37,139.91,140.07,141.17,141.66,142.71,143.42,143.94,145.11,145.38,145.8,145.03,145.2,145.88,146.11,147.08,147.84,148.78,149.2,149.82,151.49,151.85,152.19,124.04,124.3,124.41,124.22,125.16,124.65,125.59,125.92,125.7,125.89,125.87,126.02,137.92,138.2,138.79,139.11,140.87,141.68,143.28,145.43,146.53,147.21,147.53,148.59
KOTA BOGOR,124.4,124.94,124.95,124.88,125.31,125.32,125.98,126.39,126.78,128.49,128.82,128.67,121.13,121.72,121.75,121.68,121.94,121.95,122.92,123.61,123.61,126.36,126.9,126.78,124.82,125.8,125.79,125.62,127.04,127.07,127.51,127.59,127.41,127.92,128,127.6,132.79,132.79,132.79,132.79,132.79,132.79,132.79,132.79,134.73,134.73,134.73,134.73
KOTA SUKABUMI,134.76,135.72,135.89,136.01,136.38,137.68,138.07,138.14,139.08,139.55,140.06,140.7,132.13,132.6,132.85,133.46,133.99,134.44,135.05,135.16,135.91,136.04,136.04,136.32,121.15,121.25,120.98,119.62,118.73,119.65,119.83,119.84,119.59,120.5,122.18,123.01,150.29,152.92,153.26,153.28,154.2,157.71,157.74,157.74,159.97,160.91,161.72,163.06
