Kota Inflasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2012=100) Menurut Kelompok 02 Makanan Jadi, Minuman, Rokok dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan Jadi, Minuman, Rokok dan Tembakau",,,,,,,,,,,,Makanan Jadi,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,Tembakau dan Minuman Beralkohol,,,,,,,,,,,
,2018,,,,,,,,,,,,2018,,,,,,,,,,,,2018,,,,,,,,,,,,2018,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,139.83,139.73,139.68,140.15,140.39,140.59,140.59,140.92,140.89,140.86,140.82,140.82,133.83,133.83,133.83,133.83,133.83,133.83,133.83,133.83,133.83,133.83,133.83,133.83,120.99,120.51,120.27,122.53,122.12,121.78,121.78,123.39,123.23,123.07,122.56,122.55,163.15,163.15,163.15,163.15,164.24,165.15,165.15,165.15,165.15,165.15,165.39,165.39
KOTA BANDA ACEH,124.79,125.62,126.39,126.64,127.38,127.59,128.39,129,129.5,129.58,129.72,130.05,113.37,114.75,115.42,115.75,116.22,116.41,116.41,116.44,116.41,116.41,116.41,116.41,114.92,114.91,115.55,115.66,115.57,116.06,116.8,116.64,116.48,116.49,116.48,117.4,161.71,162.02,163.16,163.35,165.54,165.54,168.31,171.03,173.43,173.81,174.4,174.95
KOTA LHOKSEUMAWE,121.55,121.75,121.75,121.86,122.13,122.42,122.45,122.95,122.95,122.95,122.95,122.96,121.36,120.76,120.76,120.76,120.84,120.97,120.97,120.97,120.97,120.97,120.97,120.97,110.18,111.01,111.02,111.46,111.25,111.25,111.39,111.36,111.36,111.36,111.36,111.41,133.27,134.43,134.43,134.43,135.57,136.49,136.49,138.52,138.52,138.52,138.52,138.52
KOTA SIBOLGA,140.69,141.28,141.51,141.8,141.81,142.38,142.66,143.07,144.61,144.85,145.28,145.3,129.52,130.52,130.52,130.55,130.61,131.59,131.59,131.59,133.94,133.96,133.97,133.97,120.04,119.26,119.41,119.65,119.47,119.32,119.37,120.06,120.94,120.98,121.4,121.5,170.94,171.53,172.2,172.99,172.99,173.23,174.11,175.09,175.58,176.28,177.45,177.45
KOTA PEMATANG SIANTAR,148.85,148.65,148.94,149.58,149.63,151.47,151.54,152.86,153.14,153.75,153.73,153.68,140.56,140.53,140.17,140.43,140.43,140.45,140.26,142.82,143.11,143.11,143.01,143.01,121.82,120.61,120.21,120.42,120.77,120.64,121.26,121.05,121.2,120.93,120.32,119.99,171.32,171.32,172.74,174.07,174.07,179.13,179.3,179.66,179.98,181.78,182.09,182.09
KOTA MEDAN,140.47,141.26,141.21,141.83,141.87,142.56,142.72,143.13,144.24,145,145.08,145.14,134.06,135.08,135.09,135.09,135.11,136.03,136.31,136.85,138.61,139.79,139.87,140.07,124.94,124.94,124.6,125.03,125.21,124.94,124.97,124.88,124.84,125.36,124.72,124.46,165.86,166.72,166.71,168.85,168.85,169.7,169.7,170.16,170.65,170.65,171.23,171.24
KOTA PADANGSIDIMPUAN,138.3,138.36,138.98,140.55,140.78,140.98,141.65,141.66,142.99,143.32,143.61,143.78,120.58,120.58,121.72,122.31,122.33,122.71,123.47,123.52,123.52,123.54,123.54,123.54,132.66,132.81,132.73,132.54,132.56,132.56,132.39,132.15,131.99,131.71,131.74,131.84,171.22,171.33,171.4,175.49,176.16,176.16,177.06,177.13,181.44,182.56,183.47,183.97
KOTA PADANG,136.46,136.7,137.8,138.07,138.51,139.44,139.72,140.31,140.36,140.38,140.37,140.57,128,128.24,130.01,130.02,130.66,131.94,132.12,133,133.05,133.05,133.06,133.23,120.27,120.7,119.87,119.98,120.16,120.2,120.18,120.4,120.4,120.41,120.3,120.86,168.67,168.78,169.63,170.64,170.8,171.48,172.2,172.35,172.44,172.49,172.51,172.56
KOTA BUKITTINGGI,125.45,125.62,125.82,125.99,126.15,127.67,127.93,128.15,128.16,128.37,128.85,129.36,117.05,117.01,117.09,117.21,117.36,117.47,117.65,117.95,118.03,118.18,118.27,118.87,108.65,108.82,109.45,109.45,109.55,109.53,109.53,109.77,109.49,110.23,110.46,110.53,156.33,157.05,157.29,157.67,157.87,163.82,164.43,164.47,164.47,164.52,166.09,166.65
TEMBILAHAN,131.61,131.9,131.97,131.97,132.25,132.78,133.12,133.29,133.42,133.55,133.52,133.59,127.71,127.83,127.83,127.83,127.83,128.25,128.25,128.25,128.25,128.25,128.25,128.25,132.57,132.45,132.56,132.55,132.55,132.92,132.89,132.79,132.67,132.54,132.4,132.42,141.25,142.26,142.51,142.51,143.78,144.73,146.27,147.11,147.77,148.44,148.44,148.7
KOTA PEKANBARU,144.15,144.59,145.23,145.51,145.98,147.15,147.8,148.38,148.49,149.05,149.16,149.2,140.31,140.74,141.48,141.84,141.96,142.24,143.29,143.55,143.95,143.95,143.96,144.01,126.52,126.34,126.12,126.11,126.04,126.24,126.31,127.49,126.55,126.19,126.54,126.58,166.92,167.86,168.89,169.14,170.91,175.05,175.13,176.07,176.25,178.89,179.05,179.06
KOTA DUMAI,144.19,144.2,144.19,144.26,145.54,145.91,147.84,147.84,147.84,147.87,148.16,148.21,130.94,130.94,130.94,131.14,131.17,131.15,133.81,133.81,133.81,133.87,134.21,134.22,145.54,145.54,144.98,144.76,145.05,145.18,145.17,144.99,144.87,142.22,142.07,141.93,170.79,170.83,171.18,171.18,175.75,177.1,178.85,179,179.08,180.91,181.41,181.7
BUNGO,135.1,136.22,136.66,136.66,137.81,137.78,138.31,139.03,139.51,139.59,140.17,140.22,128.96,130.08,130.75,130.75,132.05,132.05,132.65,133.75,134.11,134.32,134.32,134.32,125.76,124.62,124.8,124.83,123.9,123.48,123.16,123.21,122.11,121.71,122.42,122.76,151.95,154.31,154.42,154.42,156.4,156.54,157.37,157.71,159.28,159.38,160.99,160.99
KOTA JAMBI,140.01,140.24,140.32,140.74,140.98,141.48,142.13,143.59,143.89,144.72,144.73,144.88,136.07,136.33,136.43,136.43,136.55,137.3,137.8,140.09,140.25,140.71,140.71,140.71,123.88,123.58,123.69,123.82,123.94,123.48,123.5,123.63,123.84,124.11,123.9,123.96,160.18,160.74,160.74,162.32,162.87,163.5,164.96,165.44,166.13,168.18,168.39,168.93
