90 Kota Inflasi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2018=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,Makanan,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,
,2021,,,,,,,,,,,,2021,,,,,,,,,,,,2021,,,,,,,,,,,,2021,,,,,,,,,,,,2021,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,118.29,115.68,114.11,115.56,117.38,116.82,117.56,117.48,115.11,116.95,118.06,120.25,120.66,117.3,115.27,117.04,119.17,118.36,119.31,118.78,115.74,118.13,119.57,122.39,103.05,103.14,102.89,102.87,102.87,103.15,103.15,103.28,103.15,102.99,102.81,102.81,-,-,-,-,-,-,-,-,-,-,-,-,113.51,113.54,113.62,114.21,115.31,115.62,115.66,117.74,117.74,117.76,117.76,117.76
KOTA BANDA ACEH,110.35,108.2,106.6,108.32,108.55,107.71,106.86,108.02,106.6,107.76,109.32,110.83,110.8,107.86,105.84,107.93,108.21,107.16,105.91,107.36,105.52,106.99,108.96,110.87,102.25,102.45,102.45,102.45,102.33,102.34,102.51,102.51,102.55,102.48,102.48,102.42,-,-,-,-,-,-,-,-,-,-,-,-,113.07,114.52,114.52,115.05,115.12,115.12,116.19,116.19,116.51,116.51,116.51,116.51
KOTA LHOKSEUMAWE,113.57,110.62,110.54,111.71,111.87,111.59,111.17,110.27,109.76,111.09,113.59,115.13,114.44,110.65,110.43,111.96,112.16,111.8,111.26,110.12,109.48,111.18,114.37,116.26,104.5,104.58,105.74,105.4,105.23,105.26,105.26,105.21,105.19,105.09,105.18,105.17,-,-,-,-,-,-,-,-,-,-,-,-,114.19,114.19,114.19,114.19,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.75
KOTA SIBOLGA,110.72,108.89,108.03,108.7,107.46,108.34,110.08,110.25,111.02,111.21,112.41,112.51,111.37,109.02,107.92,108.77,107.19,108.31,110.55,110.77,111.76,111.35,112.88,113.02,104.4,104.4,104.4,104.4,104.4,104.4,104.4,104.4,104.4,104.4,104.4,104.4,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,109.18,109.18,109.18,109.18,109.18,109.18,109.18,109.18,109.18,112.02,112.02,112.02
KOTA PEMATANG SIANTAR,112.25,110.71,109.87,109.71,109.72,110.39,110.2,109.87,110.42,109.37,110.85,112.42,112.66,110.75,109.71,109.47,109.49,110.04,109.71,109.27,109.94,108.66,110.43,111.85,103.36,102.88,102.88,103.54,103.4,103.69,103.65,104.09,104.26,103.86,103.86,103.86,103.31,103.31,103.31,103.31,103.31,103.31,103.31,103.31,103.31,103.31,103.31,103.31,113,113.11,113.11,113.11,113.11,114.6,115.17,115.17,115.17,115.17,115.55,118.43
KOTA MEDAN,106.48,105.31,105.03,104.67,104.67,104.32,105.22,104.88,105.72,105.56,106.14,107.2,106.19,104.73,104.33,103.9,103.92,103.46,104.55,104.1,104.87,104.61,105.32,106.44,100.16,100.45,100.55,100.45,100.22,100.1,100.11,100.19,100.24,100.3,100.24,101.21,-,-,-,-,-,-,-,-,-,-,-,-,112.86,112.98,113.39,113.39,113.39,113.74,113.74,113.99,115.88,116.35,116.35,117
KOTA PADANGSIDIMPUAN,109.25,108.89,107.94,109.49,109.45,108.76,109.29,109.89,110.02,110.28,111.17,111.33,108.79,108.22,106.95,108.8,108.68,107.85,108.49,109.21,109.36,109.66,110.7,110.64,102.94,104.36,104.36,104.37,104.37,104.4,104.26,104.27,104.27,104.27,104.32,104.36,-,-,-,-,-,-,-,-,-,-,-,-,115.32,115.76,116.77,116.77,117.32,117.37,117.37,117.37,117.41,117.41,117.5,119.41
