90 Kota Inflasi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2018=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,Makanan,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,
,2023,,,,,,,,,,,,2023,,,,,,,,,,,,2023,,,,,,,,,,,,2023,,,,,,,,,,,,2023,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA PEKANBARU,120.58,121.04,120.17,119.11,119.47,120.37,121.44,121.29,122.3,121.92,124.52,124.89,119.93,120.5,119.27,117.85,118.28,119.41,120.71,120.26,121.4,120.82,124.1,124.55,112.51,112.54,112.81,112.71,112.75,112.66,112.71,112.77,112.98,113.26,113.29,113.46,-,-,-,-,-,-,-,-,-,-,-,-,128.59,128.65,129.19,129.65,129.8,129.91,130.2,131.65,132.34,132.77,132.88,132.88
KOTA DUMAI,123.9,123.47,123.23,122.06,122.8,123.51,124.61,123.96,125.15,123.86,126.49,126.22,122.22,121.16,119.82,118.03,119,119.89,121.2,120.29,121.78,120.09,123.43,123,109.71,109.42,109.29,109.38,108.94,108.89,108.75,109.05,109.05,109.21,109.67,110.58,-,-,-,-,-,-,-,-,-,-,-,-,139,141.57,146.73,147.95,148.17,148.34,149.01,149.18,149.44,149.44,149.6,149.6
BUNGO,120.53,121.14,120.44,120.28,121.47,121.92,122.88,121.6,122.56,122.38,125.38,126.4,117.25,116.87,115.72,115.17,116.17,116.5,117.76,115.5,116.76,116.39,120.18,121.49,115.54,116.53,117.25,117.18,117.18,117.21,117.21,119.29,119.29,119.37,119.97,119.97,-,-,-,-,-,-,-,-,-,-,-,-,134.99,139.5,140.25,141.64,143.89,144.93,144.93,146.71,146.71,147.22,147.67,147.84
KOTA JAMBI,121.54,120.74,120.31,119.87,120.17,121.94,123.06,121.28,122.45,123.91,126.65,127.32,118.78,117.61,117.06,116.3,116.28,118.09,119.17,116.94,118.21,119.68,122.97,123.7,115.81,116.59,116.94,116.57,117.42,119.05,119.46,119.75,121.09,121.26,120.41,120.39,-,-,-,-,-,-,-,-,-,-,-,-,142.94,143.82,143.89,145.48,147.73,149.24,150.98,151.23,151.63,153.61,154.49,155.16
KOTA PALEMBANG,117,116.91,117.33,117.49,118.16,119.62,120.48,119.74,121.02,121.52,123.63,123.94,115.23,115.06,115.52,115.7,116.09,117.76,118.71,117.84,119.26,119.76,122.15,122.51,121.46,121.35,121.26,121.09,121.93,122.31,123.12,123.25,122.47,123.38,124.01,123.95,-,-,-,-,-,-,-,-,-,-,-,-,131.94,132.64,133.01,133.1,136.51,136.57,136.57,136.57,137.85,138.01,138.33,138.33
KOTA LUBUKLINGGAU,115.31,115.23,115.44,116.15,116.99,117.74,118.54,118.01,119.1,119.57,120.65,121.02,114.02,113.66,113.85,114.66,115.53,116.3,117.14,116.44,117.7,118.21,119.46,119.86,126.02,126.52,126.43,126.66,128.08,129.5,131.38,131.82,131.42,131.84,131.81,132.13,-,-,-,-,-,-,-,-,-,-,-,-,121.8,123.9,124.46,124.53,124.78,125.07,125.12,125.6,125.85,125.97,126.11,126.27
KOTA BENGKULU,114.76,114.72,115.11,115.42,116.13,116.86,117.92,117.03,117.7,118.62,119.72,120.56,110.24,109.78,110.27,110.32,110.61,111.7,112.74,111.42,112.33,113.35,114.84,115.71,116.01,116.3,115.75,116.14,117.64,115.79,118.78,118.35,117.81,117.54,116.78,118.3,-,-,-,-,-,-,-,-,-,-,-,-,133.92,135.58,135.91,137.32,139.6,139.6,140.12,140.92,140.95,141.85,141.9,142.32
KOTA BANDAR LAMPUNG,122.92,123.38,123.5,123.97,124.19,124.83,124.62,125.73,126.7,127.44,131.29,131.27,120.34,120.33,120.19,120.6,120.69,121.13,120.81,122.12,123.24,124.22,129.08,129.13,113.88,113.88,116.02,117.13,117.24,120.29,120.57,121.24,121.36,120.68,120.7,119.39,-,-,-,-,-,-,-,-,-,-,-,-,139.39,142.37,142.99,143.48,144.42,145.12,145.22,145.53,146.07,146.16,146.5,146.59
KOTA METRO,123.05,123.81,123.05,123.8,124.79,124.93,125.69,125.19,125.96,127.58,131.17,131.17,120.09,121.02,120.06,120.76,121.54,121.7,122.33,121.66,122.63,124.65,129.18,129.16,108.99,109.25,109.25,109.24,109.25,109.25,110.58,110.65,110.64,110.72,110.72,110.73,-,-,-,-,-,-,-,-,-,-,-,-,143.47,143.6,143.6,144.86,147.32,147.38,148.62,148.76,148.76,148.91,148.91,149.04
TANJUNG PANDAN,121.4,120.27,121.74,120.8,124.36,124.95,124.72,124.12,128.04,125.81,124.93,123.09,119.94,118.27,119.78,118.41,122.71,123.43,122.67,121.94,126.48,123.77,122.69,120.47,121.26,122.05,122.05,122.05,122.09,122.09,122.22,122.22,122.97,122.97,123.14,123.14,-,-,-,-,-,-,-,-,-,-,-,-,132,133.67,135.68,137.3,137.3,137.3,140.73,140.73,141.87,141.89,141.89,141.89
KOTA PANGKAL PINANG,121.02,120.56,121.21,122.18,122.58,124.63,123.7,123.48,125.71,125.43,124.92,125.52,118.67,117.64,118.41,119.47,119.61,121.48,120.32,119.79,121.8,121.51,120.9,121.43,124.25,125.09,125.25,125.67,125.82,126,126.43,126.65,127.77,126.98,126.75,128.57,-,-,-,-,-,-,-,-,-,-,-,-,134.45,137.09,137.09,137.72,139.91,143.72,143.72,145.23,149.28,149.28,149.32,149.86
KOTA BATAM,122.37,125.18,123.49,123.19,123.56,125.09,125.34,125.99,125.8,126.35,128.92,130.11,118.97,122.05,119.74,119.19,119.4,120.98,121.21,121.88,121.46,121.88,125.01,126.36,111.51,112.12,112.01,112.24,112.27,112.68,111.99,112.51,112.6,113.74,114.54,114.62,99.35,100.12,100.7,100.7,100.84,100.13,100.13,100.52,100.52,100.48,100.53,101.48,155.09,157.52,158.99,160.14,161.89,164.03,165.06,165.68,166.84,167.91,167.97,168.74
