Kota Inflasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2012=100) Menurut Kelompok 02 Makanan Jadi, Minuman, Rokok dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan Jadi, Minuman, Rokok dan Tembakau",,,,,,,,,,,,Makanan Jadi,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,Tembakau dan Minuman Beralkohol,,,,,,,,,,,
,2019,,,,,,,,,,,,2019,,,,,,,,,,,,2019,,,,,,,,,,,,2019,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,142.97,142.97,142.98,143.03,143.14,143.15,143.13,143.12,143.69,143.69,144.13,144.2,133.83,133.83,133.83,133.83,133.83,133.83,133.83,133.83,134.94,134.94,134.94,134.91,122.59,122.59,122.64,122.89,123.43,123.47,123.39,123.32,123.39,123.4,124.52,124.63,172.62,172.62,172.62,172.62,172.62,172.62,172.62,172.62,172.62,172.62,173.32,173.53
KOTA BANDA ACEH,130.07,130.91,131.03,131.13,131.84,131.91,131.98,131.97,132.07,134.14,134.13,135.12,116.48,118.11,118.11,118.2,118.23,118.23,118.23,118.23,118.21,120.91,120.91,122.56,117.16,116.9,117.03,117.26,119.03,119.32,119.32,119.28,119.73,122.39,122.32,122.73,175.12,175.12,175.53,175.53,176.86,176.86,177.19,177.19,177.19,177.19,177.19,177.19
KOTA LHOKSEUMAWE,122.99,123.27,125.2,125.73,126.46,126.69,126.73,126.73,126.72,127.17,127.22,127.25,120.97,121.33,121.46,122.5,123.54,123.89,123.97,123.97,123.97,124.33,124.45,124.5,111.51,111.93,113.03,113.04,113.85,114.06,114.06,114.05,114.01,114.04,114,114.04,138.52,138.52,144.97,144.97,144.97,144.97,144.97,144.97,144.97,146.03,146.03,146.03
KOTA SIBOLGA,145.79,145.9,145.91,145.96,146.3,146.35,146.35,146.32,146.34,146.53,147.69,149.21,134.63,134.61,134.61,134.61,134.61,134.62,134.62,134.62,134.62,134.62,134.62,134.64,121.62,121.86,121.93,122.22,123.03,123.3,123.29,123.09,123.21,123.16,123.25,125.37,177.88,178.12,178.12,178.12,178.83,178.83,178.83,178.83,178.83,179.47,183.24,187.06
KOTA PEMATANG SIANTAR,153.69,153.69,153.95,154.06,154.42,155.71,155.84,156.12,156.13,156.19,156.49,156.63,143.01,143.01,143.01,143.01,143.14,145.56,145.56,145.94,145.94,145.94,145.94,146.01,120.09,120.09,121.72,122.42,124.36,125.18,124.72,124.98,125.06,125.47,126.03,126.37,182.09,182.09,182.09,182.09,182.09,182.09,182.65,182.8,182.8,182.8,183.37,183.52
KOTA MEDAN,145.11,145.11,145.15,145.23,145.67,146.3,146.43,146.52,146.52,148.5,148.5,148.84,140.07,140.09,140.11,140.16,140.62,140.76,140.89,140.88,140.87,140.84,140.84,140.84,124.01,123.99,124.12,124.4,125.14,125.77,126.02,125.99,125.99,125.92,125.92,126.23,171.4,171.4,171.41,171.41,171.59,173.35,173.35,173.78,173.78,181.72,181.72,182.84
KOTA PADANGSIDIMPUAN,144.47,144.74,144.78,144.92,145,145.29,145.35,145.67,145.86,146.01,146.2,146.8,124.01,124.01,124.01,123.99,123.54,122.9,122.9,123.26,123.36,123.36,123.36,123.48,133.98,133.82,134.13,135.1,135.49,138.61,138.74,139.07,138.57,139.07,139.11,142.16,184.38,185.29,185.29,185.29,186.12,186.7,186.81,187.05,187.72,187.97,188.56,188.83
KOTA PADANG,140.71,140.76,141.16,141.16,141.47,141.79,142.6,142.58,142.76,142.77,142.93,143.22,133.38,133.39,133.49,133.49,133.49,133.63,135.1,135.12,135.14,135.14,135.14,135.34,121.16,121.18,121.9,121.92,123.65,125.03,124.68,124.49,125.33,125.39,125.39,126.43,172.56,172.72,173.6,173.6,173.65,173.69,173.69,173.69,173.81,173.81,174.45,174.45
KOTA BUKITTINGGI,129.53,129.85,130.05,130.31,130.69,130.91,131,131.07,131.26,131.28,131.57,131.87,118.95,118.96,118.95,119.02,119.11,119.23,119.28,119.28,119.32,119.32,119.32,119.72,110.77,110.93,111.88,112.17,114.15,114.39,114.23,114,114.07,114.2,114.38,114.51,167,168.16,168.45,169.15,169.22,169.7,170.02,170.44,171.08,171.08,172.15,172.3
TEMBILAHAN,133.69,133.68,133.71,133.68,133.92,135.62,135.62,135.62,135.62,135.61,135.96,136.54,128.25,128.25,128.25,128.25,128.25,128.25,128.25,128.25,128.25,128.25,128.25,128.25,132.34,132.25,132.45,132.31,133.03,141,141,141,141,140.94,140.93,141.22,149.23,149.23,149.23,149.23,149.73,151.01,151.01,151.01,151.01,151.01,152.57,154.94
KOTA PEKANBARU,149.48,149.55,150.13,150.22,150.38,150.42,150.43,150.47,150.52,150.57,150.66,150.75,144.39,144.51,145.28,145.42,145.45,145.49,145.5,145.49,145.51,145.51,145.51,145.53,126.59,126.33,126.7,126.8,127.56,127.64,127.69,127.93,128.18,128.45,128.67,128.78,179.31,179.47,179.75,179.74,179.75,179.76,179.76,179.78,179.75,179.74,179.97,180.22
KOTA DUMAI,148.24,150.43,150.47,150.48,151.12,152.15,152.6,152.59,152.67,152.68,152.79,153.1,134.22,134.82,134.82,134.73,134.74,134.85,135.62,135.62,135.62,135.62,135.61,136.06,142.01,142.88,143.1,143.15,143.44,143.93,143.92,143.87,144.28,144.28,144.33,144.38,181.75,188.14,188.14,188.34,190.54,193.86,193.97,193.97,193.98,194.01,194.44,194.62
BUNGO,140.23,140.33,140.47,140.54,140.91,141.03,141.03,140.97,140.97,141.1,141.54,142.58,134.43,134.51,134.51,134.51,134.51,134.51,134.51,134.51,134.51,134.53,134.78,135.98,122.42,122.77,123.11,123.58,125.15,125.47,125.46,125.05,125.08,125.43,126.24,126.59,160.99,160.99,161.29,161.29,161.71,161.97,161.97,161.97,161.97,162.2,162.81,163.93
