Kota Inflasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2012=100) Menurut Kelompok 02 Makanan Jadi, Minuman, Rokok dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan Jadi, Minuman, Rokok dan Tembakau",,,,,,,,,,,,Makanan Jadi,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,Tembakau dan Minuman Beralkohol,,,,,,,,,,,
,2014,,,,,,,,,,,,2014,,,,,,,,,,,,2014,,,,,,,,,,,,2014,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA JAMBI,109.9,110.19,111.03,111.46,111.56,111.79,113,113.25,113.34,114,114.12,115.83,112.16,112.56,113.65,114.06,114.25,114.51,115.28,115.63,115.74,116.26,116.38,117.69,103.8,103.62,104.71,104.94,104.96,104.76,105.72,105.81,105.83,106.02,106.32,107.92,109.08,109.45,109.53,110.14,110.14,110.59,112.97,113.13,113.17,114.51,114.53,117.17
KOTA PALEMBANG,108.5,108.67,109.04,109.09,109.06,109.55,109.72,110.17,111.62,112.01,113.14,116.24,107.2,107.2,107.53,107.6,107.6,108.35,108.72,108.93,109.66,110.37,112.05,114.63,100.98,101.23,101.28,101.34,101.18,101.59,101.35,101.33,101.92,101.87,101.39,102.32,116.24,116.72,117.37,117.37,117.37,117.37,117.37,118.64,122.2,122.2,123.24,128.87
KOTA LUBUKLINGGAU,107.59,107.61,107.59,107.55,109.43,109.86,109.62,110.05,110.48,110.48,110.96,113.07,103.71,103.71,103.71,103.71,106.39,106.8,106.8,107.28,107.74,107.74,108.48,110.51,109.01,109.14,109.01,108.76,110.62,111.95,110.53,111.58,112.67,112.67,113.25,114.25,113.4,113.4,113.4,113.4,113.9,113.9,113.9,113.9,113.9,113.9,113.9,116.77
KOTA BENGKULU,110.47,110.51,110.58,111.2,111.18,111.38,115.11,115.29,115.91,116.18,115.92,116.96,112.44,112.44,112.45,113.31,113.31,113.43,115.57,115.93,116.96,117.01,117.01,117.88,107.05,107.3,107.03,107.84,107.72,107.64,110.27,110.07,110.17,111.69,110.03,112.45,108.26,108.26,108.67,108.67,108.67,109.19,117.02,117.02,117.07,117.07,117.07,117.67
KOTA BANDAR LAMPUNG,107.6,107.77,107.74,108.15,108.42,109.34,109.96,111.53,111.7,112.07,112.64,116.04,108.67,108.95,109.02,109.02,109.02,109.51,110.6,113.19,113.3,113.61,113.69,117.34,101.39,101.39,100.74,100.39,101.4,101.37,101.08,101.18,100.87,101.82,102.49,107.89,109.67,109.67,109.84,111.84,112.2,114.9,115.08,115.25,115.92,116,117.67,118.99
KOTA METRO,117.15,116.98,116.24,116.51,116.74,116.71,116.99,116.92,116.86,116.9,117.03,117.21,123.03,123.03,123.03,123.02,123.09,123.06,123.17,123.1,123.07,123.07,123.07,123.21,113.46,110.8,106.33,107.11,107.16,107.14,107,106.79,106.53,106.79,107.11,107.09,108.54,109.45,109.45,109.95,110.54,110.54,111.34,111.34,111.34,111.34,111.61,111.95
TANJUNG PANDAN,110.84,111.02,111.74,111.8,112.13,112.4,112.53,112.57,112.49,113.46,115.23,118.43,113.02,113.02,114.17,114.17,114.17,114.17,114.17,114.17,114.17,114.31,115.82,120.5,105.54,105.54,105.54,105.9,108,108,108.79,109.08,108.58,111.49,116.56,117.36,108.42,109.28,109.28,109.28,109.28,110.53,110.53,110.53,110.53,112.43,112.6,113.28
KOTA PANGKAL PINANG,113.54,113.6,113.71,113.86,113.5,113.48,114.05,115.05,117.79,118.72,119.44,120,114.41,114.43,114.42,114.42,114.44,114.44,114.88,116.42,120.1,120.1,121.39,121.39,114.07,114.34,114.58,115.46,113.26,112.9,113.98,114.11,117.5,117.36,117.19,117.65,111.34,111.34,111.62,111.63,111.63,111.81,112.3,112.71,113.04,116.65,116.75,118.57
KOTA BATAM,106.87,107.43,107.57,108,108.8,109.07,110.07,110.67,111.59,112.37,112.73,114.54,104.74,104.74,104.79,104.88,106.14,106.2,107.44,107.96,108.62,109.27,109.68,111.97,102.29,103.13,102.97,103.33,103.12,103.09,102.43,103.02,103.5,104.37,104.88,105.36,117.65,119.56,120.3,121.75,122.22,123.39,125.29,126.13,128.28,129.33,129.4,131.08
KOTA TANJUNG PINANG,114.65,114.89,115.59,115.6,115.95,116.19,116.84,117.11,117.82,118.45,118.67,120.54,118.21,118.42,119.24,119.27,119.53,119.73,119.95,120.04,120.57,120.86,121.2,123.49,105.99,105.96,106.6,106.57,106.9,106.86,109.67,110.05,111.56,113.15,112.87,113.55,111.53,112.13,112.5,112.5,113.13,113.76,113.77,114.5,115.07,115.82,116.18,117.82
DKI JAKARTA,112.41,112.4,113.24,113.53,113.81,113.92,116.54,116.88,117.13,117.21,118.73,124.68,113.98,113.99,114.51,114.56,114.75,114.78,118.04,118.35,118.52,118.62,120.98,130.14,107.05,106.99,106.73,107.39,107.52,107.55,109.13,109.29,109.67,109.8,110.18,111.99,113.71,113.72,117.01,117.64,118.46,118.91,120.69,121.32,121.68,121.67,121.67,121.76
KOTA BOGOR,108.51,108.84,108.88,108.97,109.57,109.88,110.21,110.41,110.42,110.77,111.4,112.2,108.77,109.16,109.18,109.31,109.53,109.73,110.01,110.17,110.2,110.62,111.64,112.14,105.44,105.52,105.67,105.81,107.2,107.8,108.48,108.74,108.7,109.15,109.31,111.54,110.56,110.95,110.95,110.95,111.83,112.18,112.3,112.59,112.59,112.63,112.63,112.97
KOTA SUKABUMI,110.85,111.48,112.16,112.21,113,113.3,113.57,114.14,114.81,115.64,116.29,117.8,113.38,113.8,114.39,114.88,115.5,115.69,115.76,116.2,116.51,117.3,118.01,119.36,105.11,105.27,105.45,103.74,104.01,104.15,103.72,103.71,104.61,105.37,105.82,106.66,109.2,110.66,111.87,112.19,113.7,114.38,115.62,116.85,118.18,119.19,119.81,122.16
KOTA BANDUNG,109.82,110.43,110.54,111.46,111.93,111.99,112.15,112.92,114.14,114.81,114.99,115.39,109.06,109,109.03,109.8,110.47,110.49,110.52,111.48,113.37,113.6,113.63,114.12,114.43,114.77,114.99,115.78,116.05,116.33,116.65,116.5,116.57,116.75,117.06,116.94,107.82,110.87,111.15,112.67,112.67,112.67,113.09,114.09,114.29,116.85,117.41,117.96
KOTA CIREBON,107.35,107.57,108.27,108.28,108.27,108.6,108.74,109.07,109.5,109.5,110.52,110.62,106.85,107.14,107.3,107.3,107.24,107.29,107.3,107.35,107.35,107.35,108.09,108.17,102.16,102.25,102.92,102.96,103.2,103.3,103.2,103.19,103.42,103.48,103.95,104.09,113.71,113.71,116.84,116.84,116.84,118.62,119.53,121.3,123.77,123.77,126.47,126.59
KOTA BEKASI,108.59,108.6,109.39,109.82,110.3,110.41,110.65,110.95,111.44,112.01,112.45,113.19,109.4,109.5,109.86,110.28,110.81,110.81,111.01,111.27,111.91,112.8,113.21,114.23,102.4,102.17,101.61,101.81,102.11,102.67,102.62,102.75,102.57,102.41,103.09,103.29,112.67,112.68,116.86,117.54,118.1,118.1,118.82,119.51,120.21,120.32,120.56,120.8
KOTA DEPOK,112.01,112.06,112.17,112.38,112.86,113.51,114.14,114.97,115.28,116.09,116.66,116.87,113.7,113.73,113.82,114.03,114.04,114.04,114.88,115.99,116.04,116.96,117.06,117.07,108.14,108.29,108.59,108.96,109.41,109.5,110.1,110.42,111.28,112.05,112.44,113.42,110.74,110.73,110.72,110.77,112.8,116.14,116.14,116.63,117.2,117.67,119.97,119.98
KOTA TASIKMALAYA,105.61,105.7,106.13,106.42,106.95,107.3,107.64,108.43,108.58,109.48,109.64,111,104.58,104.67,105.15,105.58,105.71,105.85,105.99,107.07,107.27,107.59,107.66,108.02,104.71,104.85,105.1,104.87,104.76,105.25,106.32,106.63,106.39,109.06,108.99,109.37,109.83,109.89,110.22,110.35,112.65,113.68,114.27,114.33,114.53,116.45,117.09,122.62
CILACAP,115.21,115.99,116.07,116.66,117.49,118.06,118.9,119.7,120.88,122.05,123.43,125.58,114.39,115.05,115.1,115.59,116.64,116.79,117.62,118.3,119.41,120.38,122.35,125.08,118.27,118.58,118.56,119.48,120.25,119.92,119.96,120.48,121.09,121.22,120.84,122.04,115.24,116.79,117,117.63,117.85,120.38,121.86,123.26,125.05,127.62,128.64,129.79
PURWOKERTO,110.22,110.26,110.29,110.64,110.67,110.98,112.32,112.93,113.09,113.45,113.65,114.11,111.24,111.28,111.36,111.55,111.55,111.95,112.61,113.04,113.04,113.4,113.4,113.82,103.29,103.4,103.13,102.9,102.96,103.31,106.29,106.85,106.62,106.59,106.47,107.03,112.8,112.8,112.91,114.31,114.4,114.4,116.62,117.92,118.98,119.65,120.83,121.36
KUDUS,121.94,123.57,123.57,124.79,125.5,126.37,126.69,126.73,126.81,127.07,127.93,128.46,122.46,124.5,124.5,125.61,125.94,126.48,126.84,126.84,126.84,126.84,127.96,127.96,110.85,112.05,112.05,114.96,117.09,116.13,114.56,114.76,115.24,116.77,117.53,118.28,130.77,131.33,131.33,131.33,132.02,135.8,137.81,137.81,137.81,137.81,137.81,140
KOTA SURAKARTA,106.89,107.41,107.83,107.96,108.1,108.26,108.34,108.42,108.62,108.85,108.93,110.02,106.38,106.93,107.26,107.37,107.39,107.44,107.47,107.46,107.59,107.61,107.6,108.86,104.48,104.64,104.8,104.64,104.97,105.13,105.27,105.23,105.15,105.67,105.97,106.05,113.58,114.55,115.91,116.59,117.02,117.77,118.08,118.83,119.93,120.79,121.01,122.84
KOTA SEMARANG,111.65,111.78,112.55,112.84,113.05,113.28,114.54,114.96,115.13,115.65,115.97,118.05,112.9,113.06,113.71,113.78,113.99,114.07,115.56,116.03,116.15,116.56,116.89,119.23,105.81,105.38,106.89,107.06,107.29,107.36,107.33,107.19,107.49,107.75,107.93,109.58,114.27,115.04,115.33,116.76,117.05,118.22,120.2,121.24,121.43,122.89,123.32,124.79
KOTA TEGAL,107.41,109.13,109.32,109.58,109.56,109.59,110.61,111.23,111.65,112.46,112.49,112.82,109.09,110.81,110.98,111.33,111.33,111.39,112.6,113.46,114.04,115.05,115.05,115.46,100.08,99.9,99.68,99.85,99.71,99.54,99.88,100.01,100.26,99.89,99.55,99.61,107.41,110.72,111.35,111.35,111.35,111.4,112.34,112.49,112.49,113.58,114.01,114.26
KOTA YOGYAKARTA,111.57,112.16,112.22,112.49,112.56,113.04,113.31,113.48,113.65,114.01,114.39,114.82,113.18,113.61,113.78,113.96,113.98,114.17,114.26,114.38,114.46,114.75,114.95,115.17,106.63,106.96,106.61,106.78,106.67,107.47,107.91,108.04,108.22,108.35,109.77,110.62,110.28,111.64,111.69,112.41,112.78,114.04,114.8,115.18,115.71,116.46,116.56,117.41
